case_id,candidate_index,text,label_hallucinated,old_pred_hallucinated_v8,new_pred_hallucinated_v9,old_final_geometric_block,final_geometric_block_v14b,exact_reference_member,hard_clamp_present,reference_member_geometry_override,mbt5_shock,threshold,literal_score
earth_shape_valid_paraphrases,0,Earth is approximately an oblate spheroid.,0,0,0,0,0,1,0,0,0.1051608175039291,0.8761832118034363,0.0
earth_shape_valid_paraphrases,1,Earth is roughly spherical and slightly flattened at the poles.,0,0,0,0,0,0,0,0,0.3887318074703216,0.8761832118034363,0.0
earth_shape_valid_paraphrases,2,Earth's shape is commonly described as an oblate spheroid.,0,0,0,0,0,1,0,0,0.1770950853824615,0.8761832118034363,0.0
earth_shape_valid_paraphrases,3,Earth is not a perfect sphere; it is slightly flattened at the poles.,0,0,0,0,0,1,0,0,0.4423277080059051,0.8761832118034363,0.0
earth_shape_valid_paraphrases,4,The planet Earth is roughly spherical with equatorial bulging.,0,0,0,0,0,1,0,0,0.3583780825138092,0.8761832118034363,0.0
gravity_valid_paraphrases,0,"Modern physics has useful descriptions of gravity, but no complete quantum theory is established.",0,0,0,0,0,0,0,0,0.2447728961706161,0.958626389503479,0.0
gravity_valid_paraphrases,1,Gravity can be modeled as Newtonian attraction between masses.,0,0,0,0,0,0,0,0,0.5307523012161255,0.958626389503479,0.5
gravity_valid_paraphrases,2,General relativity describes gravity using spacetime curvature associated with mass and energy.,0,0,0,0,0,0,0,0,0.5034885406494141,0.958626389503479,0.5
gravity_valid_paraphrases,3,A complete experimentally verified theory of quantum gravity is not established.,0,0,0,0,0,1,0,0,0.3330675661563873,0.958626389503479,0.0
gravity_valid_paraphrases,4,Current physics describes gravity through useful but incomplete models.,0,0,0,0,0,0,0,0,0.3701125383377075,0.958626389503479,1.5
photosynthesis_valid_paraphrases,0,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0,0,0,0,0,1,0,0,0.0616318546235561,0.588822215795517,0.0
photosynthesis_valid_paraphrases,1,Plants use photosynthesis to make sugars from carbon dioxide and water.,0,0,0,0,0,1,0,0,0.19723641872406,0.588822215795517,0.0
photosynthesis_valid_paraphrases,2,Photosynthesis releases oxygen and stores light energy.,0,0,0,0,0,0,0,0,0.220676451921463,0.588822215795517,0.0
photosynthesis_valid_paraphrases,3,Photosynthesis stores light energy in chemical form.,0,0,0,0,0,1,0,0,0.3150236010551452,0.588822215795517,0.0
photosynthesis_valid_paraphrases,4,Photosynthesis releases oxygen.,0,0,0,0,0,1,0,0,0.1871283650398254,0.588822215795517,0.0
orbit_valid_paraphrases,0,Earth orbits the Sun.,0,0,0,0,0,1,0,0,0.1184820383787155,0.7127331048250198,0.0
orbit_valid_paraphrases,1,The Moon orbits Earth.,0,0,0,0,0,1,0,0,0.1980994343757629,0.7127331048250198,0.0
orbit_valid_paraphrases,2,The Sun is orbited by Earth.,0,0,0,0,0,1,0,0,0.1870669722557068,0.7127331048250198,0.0
orbit_valid_paraphrases,3,The Moon is a natural satellite of Earth.,0,0,0,0,0,1,0,0,0.5630252957344055,0.7127331048250198,0.0
orbit_valid_paraphrases,4,Earth goes around the Sun.,0,0,0,0,0,0,0,0,0.3749982118606567,0.7127331048250198,0.5
dna_valid_paraphrases,0,Human cells contain DNA in the nucleus.,0,0,0,0,0,1,0,0,0.0651251524686813,0.4785757139325142,0.0
dna_valid_paraphrases,1,The nucleus contains most human cellular DNA.,0,0,0,0,0,1,0,0,0.0624954551458358,0.4785757139325142,0.0
dna_valid_paraphrases,2,Mitochondria contain some DNA.,0,0,0,0,0,1,0,0,0.4910173118114471,0.4785757139325142,0.0
dna_valid_paraphrases,3,DNA is located mainly in the nucleus.,0,0,0,0,0,1,0,0,0.2094644159078598,0.4785757139325142,0.0
dna_valid_paraphrases,4,Most human cellular DNA is in the nucleus.,0,0,0,0,0,0,0,0,0.0723288655281066,0.4785757139325142,0.0
friction_heat_valid_paraphrases,0,Friction can produce heat.,0,0,0,0,0,1,0,0,0.059215385466814,0.2343085668981075,0.0
friction_heat_valid_paraphrases,1,Rubbing surfaces can generate heat through friction.,0,0,0,0,0,1,0,0,0.2193867862224578,0.2343085668981075,0.0
friction_heat_valid_paraphrases,2,Friction converts some motion into heat.,0,0,0,0,0,1,0,0,0.0492999479174613,0.2343085668981075,0.0
friction_heat_valid_paraphrases,3,Heat is produced when friction dissipates motion.,0,0,0,0,0,1,0,0,0.0949785336852073,0.2343085668981075,0.0
friction_heat_valid_paraphrases,4,Friction dissipates motion as heat.,0,0,0,0,0,0,0,0,0.1242063492536544,0.2343085668981075,0.0
mars_moons_valid_paraphrases,0,"Mars has two moons, Phobos and Deimos.",0,0,0,0,0,1,0,0,0.0449438393115997,0.140945678576827,0.0
mars_moons_valid_paraphrases,1,The two moons of Mars are Phobos and Deimos.,0,0,0,0,0,1,0,0,0.0173749979585409,0.140945678576827,0.0
mars_moons_valid_paraphrases,2,Mars has two natural satellites called Phobos and Deimos.,0,0,0,0,0,1,0,0,0.1562314927577972,0.140945678576827,0.0
mars_moons_valid_paraphrases,3,Phobos and Deimos are the moons of Mars.,0,0,0,0,0,1,0,0,0.0467183738946914,0.140945678576827,0.0
mars_moons_valid_paraphrases,4,Mars has two moons called Phobos and Deimos.,0,0,0,0,0,0,0,0,0.0305361151695251,0.140945678576827,0.0
science_models_valid_paraphrases,0,Scientific models describe observations and can be useful without being final truth.,0,0,0,0,0,1,0,0,0.1749086827039718,1.083843231201172,0.0
science_models_valid_paraphrases,1,A model can match evidence while remaining incomplete.,0,0,0,0,0,0,0,0,0.4527599513530731,1.083843231201172,0.0
science_models_valid_paraphrases,2,"Scientific descriptions are tested against observations, measurements, and predictions.",0,0,0,0,0,1,0,0,0.4932231307029724,1.083843231201172,0.0
science_models_valid_paraphrases,3,A successful model is not automatically a complete final description of reality.,0,0,0,0,0,1,0,0,0.4982562959194183,1.083843231201172,0.0
science_models_valid_paraphrases,4,Scientific models can be useful while still being incomplete descriptions.,0,0,0,0,0,0,0,0,0.3463141024112701,1.083843231201172,0.0
temperature_valid_paraphrases,0,Normal human body temperature is often given as about 37 degrees Celsius.,0,0,0,0,0,1,0,0,0.0365231446921825,0.2120460122823715,0.0
temperature_valid_paraphrases,1,A common reference value for normal human body temperature is around 37°C.,0,0,0,0,0,1,0,0,0.0541346818208694,0.2120460122823715,0.0
temperature_valid_paraphrases,2,"Normal body temperature is approximately 37 degrees Celsius, though it varies.",0,0,0,0,0,1,0,0,0.1337649226188659,0.2120460122823715,0.0
temperature_valid_paraphrases,3,Human body temperature is commonly described as near 37°C.,0,0,0,0,0,1,0,0,0.0859392508864402,0.2120460122823715,0.0
temperature_valid_paraphrases,4,"Normal human body temperature is about 37°C, though it varies.",0,0,0,0,0,0,0,0,0.060420848429203,0.2120460122823715,0.0
capital_valid_paraphrases,0,The capital of Italy is Rome.,0,0,0,0,0,1,0,0,0.015758391469717,0.1260182466357946,0.0
capital_valid_paraphrases,1,Rome is the capital city of Italy.,0,0,0,0,0,1,0,0,0.0350641533732414,0.1260182466357946,0.0
capital_valid_paraphrases,2,Italy's government is based in Rome.,0,1,0,1,0,1,0,1,0.2923506498336792,0.1260182466357946,0.0
capital_valid_paraphrases,3,Rome serves as Italy's capital.,0,0,0,0,0,1,0,0,0.0466585308313369,0.1260182466357946,0.0
capital_valid_paraphrases,4,Italy's capital is Rome.,0,0,0,0,0,0,0,0,0.0237889513373374,0.1260182466357946,0.0
